obs_year,Month,SWin,SWout,Albedo,Site,Age
One,01,306.62038451612904,92.7680764516129,0.3025502580267394,SBC Grass,3
One,02,478.03483714285716,103.92183285714286,0.21739384827739364,SBC Grass,3
One,03,659.0736535947713,143.04143725490195,0.2170340696744804,SBC Grass,3
One,04,701.5058171428572,164.60435857142858,0.23464432446453679,SBC Grass,3
One,05,565.9462361111111,106.36440344827587,0.18794082663957065,SBC Grass,3
One,06,679.0408113333333,124.32208246666667,0.18308484614135864,SBC Grass,3
One,07,744.2000206451613,133.36297677419356,0.17920313501009932,SBC Grass,3
One,08,660.1607379310345,103.99461448275862,0.1575292326663975,SBC Grass,3
One,09,527.752942,101.36390726666667,0.19206696770373793,SBC Grass,3
One,10,511.83673870967743,100.61550277419354,0.1965773364136418,SBC Grass,3
One,11,436.97216933333334,99.10560566666666,0.22680072696132375,SBC Grass,3
One,12,329.07089935483873,76.29575451612904,0.2318520254015502,SBC Grass,3
Three,01,347.2603322580645,89.59540133333333,0.258006437852369,SBC Grass,5
Three,02,363.79577753623187,85.1750354887218,0.23412870832520558,SBC Grass,5
Three,03,541.2378033783784,114.07043466216216,0.2107584391743156,SBC Grass,5
Three,04,629.5886527397261,120.20069700680273,0.19091941457924286,SBC Grass,5
Three,05,718.1717277419355,129.8721135483871,0.18083712924306977,SBC Grass,5
Three,06,680.0208208053691,130.09835713333334,0.19131525558181284,SBC Grass,5
Three,07,736.2683464052287,136.38880437908497,0.1852433355922367,SBC Grass,5
Three,08,675.7407506666667,110.6730942,0.16378040556354348,SBC Grass,5
Three,09,373.5637988235294,57.973812470588236,0.1551911953277221,SBC Grass,5
Three,10,483.95028580645163,95.65704632258064,0.19765882804093887,SBC Grass,5
Three,11,348.72748866666666,78.12031113333333,0.22401535202177628,SBC Grass,5
Three,12,312.3968558441558,99.68488694805195,0.31909695979072644,SBC Grass,5
Two,01,401.4526553333333,99.45321993103448,0.2477333718180459,SBC Grass,4
Two,02,338.71530791366905,66.71824899280575,0.19697441312516864,SBC Grass,4
Two,03,513.0628228571428,115.69903037313433,0.22550655634885003,SBC Grass,4
Two,04,666.3148586666666,124.1739808,0.1863593152469676,SBC Grass,4
Two,05,666.5973790849673,117.27537058823529,0.17593134066806296,SBC Grass,4
Two,06,736.0926479999999,136.34025026666666,0.1852215894794084,SBC Grass,4
Two,07,757.7840352941176,143.2324477419355,0.18901486580717272,SBC Grass,4
Two,08,691.8271662251656,122.56396423841059,0.17715980265296535,SBC Grass,4
Two,09,604.3269315068493,104.80632595890411,0.17342653536485036,SBC Grass,4
Two,10,536.1393264516129,97.18903290322581,0.18127570224415765,SBC Grass,4
Two,11,403.9750136054422,81.82731843537415,0.20255539496136749,SBC Grass,4
Two,12,337.1099374193548,76.83982273333334,0.22793698495380413,SBC Grass,4
