Site,age,Albedo
Duke Forest Loblolly Pine,21,0.1133030365925102
Duke Forest Loblolly Pine,22,0.10806684671658986
Duke Forest Loblolly Pine,23,0.10347840677419355
Duke Forest Loblolly Pine,24,0.1031667038751571
Duke Forest Loblolly Pine,25,0.09707286562538624
North Carolina Clearcut,1,0.1610887642771804
North Carolina Clearcut,2,0.16452706906856585
North Carolina Clearcut,3,0.1538214020065284
North Carolina Clearcut,4,0.1427735876344086
North Carolina Clearcut,5,0.13877880933947773
North Carolina Loblolly Pine,13,0.11113100912698412
North Carolina Loblolly Pine,14,0.10783531418796258
North Carolina Loblolly Pine,15,0.11690865168272588
North Carolina Loblolly Pine,16,0.11665238417995304
North Carolina Loblolly Pine,17,0.09926656374807988
North Carolina Loblolly Pine,18,0.11206160470814132
SBC Pine,0,0.18781063044437435
SBC Pine,27,0.10847603802210123
SBC Pine,28,0.11623209602889163
SBC Pine,29,0.10839579801775712
SBC Pine,30,0.10054285686653511
